[[0, 1, 2, 4, 0], 1.021565583000463, 0.041657209396362305, 0.041100031]
[[0, 0, 1, 3, 0], 1.0244972162426105, 0.2682032585144043, 0.266021558]
[[0, 2, 3, 5, 0], 1.024152011272461, 0.06631302833557129, 0.065690688]
[[1, 3, 0, 1, 2], 1.0160856668544906, 0.19873738288879395, 0.197472287]
[[1, 3, 0, 0, 1], 1.0281182442150172, 0.2577669620513916, 0.255891853]
[[1, 3, 0, 2, 3], 1.0335007970462684, 0.132737398147583, 0.131353757]
[[3, 5, 0, 1, 2], 1.0517114312807874, 0.06833457946777344, 0.067670794]
[[3, 5, 0, 0, 1], 1.0207623251258215, 0.17133879661560059, 0.169947338]
[[3, 5, 0, 2, 3], 1.030174470699921, 0.0682992935180664, 0.06766108]
[[2, 4, 0, 1, 2], 1.0, 0.09874820709228516, 0.098115895]
[[2, 4, 0, 0, 1], 1.013641378230168, 0.18266940116882324, 0.181356633]
[[2, 4, 0, 2, 3], 1.0348005137540692, 0.048731327056884766, 0.048104393]
