[[0, 1, 2, 4, 0], 666.0636102270412, 0.0006871223449707031, 0]
[[0, 0, 1, 3, 0], 9.490045886364557, 0.0020046234130859375, 0]
[[0, 2, 3, 5, 0], 62.36227718673832, 0.000667572021484375, 0]
[[1, 3, 0, 1, 2], 1.9565657397290714, 0.00525355339050293, 0]
[[1, 3, 0, 0, 1], 1.9041746698252247, 0.002322673797607422, 0]
[[1, 3, 0, 2, 3], 2.147664076679043, 0.0014653205871582031, 0]
[[3, 5, 0, 1, 2], 2.0070925881454875, 0.0007202625274658203, 0]
[[3, 5, 0, 0, 1], 2.147664076679043, 0.0014271736145019531, 0]
[[3, 5, 0, 2, 3], 2.831780335046731, 0.0008394718170166016, 0]
[[2, 4, 0, 1, 2], 40.624834786835834, 0.0007309913635253906, 0]
[[2, 4, 0, 0, 1], 1.9565657397290714, 0.0014390945434570312, 0]
[[2, 4, 0, 2, 3], 2.0070925881454875, 0.0007021427154541016, 0]
