[[0, 1, 2, 4, 0], 1.0, 0.06677365303039551, 0]
[[0, 0, 1, 3, 0], 1.1873591421662046787, 0.12601256370544434, 0]
[[0, 2, 3, 5, 0], 1.0290153151267189774, 0.06613802909851074, 0]
[[1, 3, 0, 1, 2], 1.167794803685976735, 0.07346320152282715, 0]
[[1, 3, 0, 0, 1], 1.5698983295322810886, 0.12774944305419922, 0]
[[1, 3, 0, 2, 3], 1.1011090050758120098, 0.11431360244750977, 0]
[[3, 5, 0, 1, 2], 1.137489193977737491, 0.10061097145080566, 0]
[[3, 5, 0, 0, 1], 1.1011090050758120098, 0.10427117347717285, 0]
[[3, 5, 0, 2, 3], 1.767175492864399823, 0.1203768253326416, 0]
[[2, 4, 0, 1, 2], 90.94900183328268585, 0.09823966026306152, 0]
[[2, 4, 0, 0, 1], 1.167794803685976735, 0.11589765548706055, 0]
[[2, 4, 0, 2, 3], 1.137489193977737491, 0.09507942199707031, 0]
