[[0, 0, 1, 1, 0, 0, 1], 1.0224866957775753, 0.05194354057312012, 0]
[[0, 0, 1, 1, 0, 2, 2], 1.2315938253302638, 0.07677030563354492, 0]
[[0, 0, 1, 1, 0, 4, 3], 1.3779926305166572, 0.08701443672180176, 0]
[[0, 0, 1, 1, 0, 6, 4], 1.4648340328369855, 0.10999608039855957, 0]
[[0, 2, 2, 3, 0, 0, 1], 1.9780385715959439, 0.07222414016723633, 0]
[[0, 2, 2, 3, 0, 2, 2], 1.0562709233623906, 0.08451437950134277, 0]
[[0, 2, 2, 3, 0, 4, 3], 1.2421336086520023, 0.062439918518066406, 0]
[[0, 2, 2, 3, 0, 6, 4], 1.0136322823327941, 0.0608522891998291, 0]
[[0, 4, 3, 5, 0, 0, 1], 1.4447069048063743, 0.06716752052307129, 0]
[[0, 4, 3, 5, 0, 2, 2], 1.3912765177415471, 0.06253457069396973, 0]
[[0, 4, 3, 5, 0, 4, 3], 1.3504531695940323, 0.0613100528717041, 0]
[[0, 4, 3, 5, 0, 6, 4], 1.5313551555188616, 0.0564570426940918, 0]
[[0, 6, 4, 7, 0, 0, 1], 1.0578664195040277, 0.06528711318969727, 0]
[[0, 6, 4, 7, 0, 2, 2], 1.3983983023006425, 0.06337356567382812, 0]
[[0, 6, 4, 7, 0, 4, 3], 1.7142411960983044, 0.06493163108825684, 0]
[[0, 6, 4, 7, 0, 6, 4], 2.4398025893328645, 0.0682673454284668, 0]
[[1, 1, 0, 0, 1, 1, 0], 1.068927090024436, 0.06642436981201172, 0]
[[1, 1, 0, 2, 2, 3, 0], 1.3935340251132364, 0.06083035469055176, 0]
[[1, 1, 0, 4, 3, 5, 0], 1.0209759493977448, 0.05967879295349121, 0]
[[1, 1, 0, 6, 4, 7, 0], 1.3212051267519003, 0.0637197494506836, 0]
[[2, 3, 0, 0, 1, 1, 0], 1.8196300212581296, 0.07224345207214355, 0]
[[2, 3, 0, 2, 2, 3, 0], 1.022797996453316, 0.06060171127319336, 0]
[[2, 3, 0, 4, 3, 5, 0], 1.0990303410105167, 0.07057952880859375, 0]
[[2, 3, 0, 6, 4, 7, 0], 1.3930918771766305, 0.06983280181884766, 0]
[[3, 5, 0, 0, 1, 1, 0], 1.2094955024507674, 0.058751583099365234, 0]
[[3, 5, 0, 2, 2, 3, 0], 1.0689860499625772, 0.06575894355773926, 0]
[[3, 5, 0, 4, 3, 5, 0], 1.0301689729515917, 0.06795978546142578, 0]
[[3, 5, 0, 6, 4, 7, 0], 1.0037618808540387, 0.0611879825592041, 0]
[[4, 7, 0, 0, 1, 1, 0], 1.1082830779996962, 0.07413268089294434, 0]
[[4, 7, 0, 2, 2, 3, 0], 1.3102622316003616, 0.08830666542053223, 0]
[[4, 7, 0, 4, 3, 5, 0], 1.0541285473461661, 0.07660984992980957, 0]
[[4, 7, 0, 6, 4, 7, 0], 1.094421743972133, 0.062493085861206055, 0]
