[[0, 1, 2, 4, 0, 1, 2], 1.0033296413112984, 0.6168606281280518, 0]
[[0, 1, 2, 4, 0, 0, 1], 1.0808916206708024, 0.6459522247314453, 0]
[[0, 1, 2, 4, 0, 2, 3], 1.0258157597358815, 0.6147720813751221, 0]
[[0, 0, 1, 3, 0, 1, 2], 1.0367150423768503, 0.7034749984741211, 0]
[[0, 0, 1, 3, 0, 0, 1], 1.00767190703513, 0.7419064044952393, 0]
[[0, 0, 1, 3, 0, 2, 3], 1.0476082261588309, 0.7318594455718994, 0]
[[0, 2, 3, 5, 0, 1, 2], 1.1128548438479176, 0.6169371604919434, 0]
[[0, 2, 3, 5, 0, 0, 1], 1.0016757316262492, 0.6702518463134766, 0]
[[0, 2, 3, 5, 0, 2, 3], 1.0272113244193062, 0.8339600563049316, 0]
[[1, 3, 0, 1, 2, 4, 0], 1.00145682874723, 0.6577050685882568, 0]
[[1, 3, 0, 0, 1, 3, 0], 1.0015655534473122, 0.7899675369262695, 0]
[[1, 3, 0, 2, 3, 5, 0], 1.0091671533780178, 0.6668174266815186, 0]
[[3, 5, 0, 1, 2, 4, 0], 1.0032277556400058, 0.6866726875305176, 0]
[[3, 5, 0, 0, 1, 3, 0], 1.0122165903640348, 0.7178928852081299, 0]
[[3, 5, 0, 2, 3, 5, 0], 1.0155799978456908, 0.6967253684997559, 0]
[[2, 4, 0, 1, 2, 4, 0], 1.0016228458654282, 0.6009879112243652, 0]
[[2, 4, 0, 0, 1, 3, 0], 1.0138375811750082, 0.748375654220581, 0]
[[2, 4, 0, 2, 3, 5, 0], 1.0529223964470134, 0.6539337635040283, 0]
