[[0, 1, 2, 4, 0, 1, 2], 5.231009046987121, 0.0010974407196044922, 0]
[[0, 1, 2, 4, 0, 0, 1], 1301.1176589083268, 0.001739501953125, 0]
[[0, 1, 2, 4, 0, 2, 3], 1292.3991099471455, 0.0010356903076171875, 0]
[[0, 0, 1, 3, 0, 1, 2], 12.712802910160772, 0.002311229705810547, 0]
[[0, 0, 1, 3, 0, 0, 1], 10.239233267788668, 0.003250598907470703, 0]
[[0, 0, 1, 3, 0, 2, 3], 16.79745138100558, 0.002248048782348633, 0]
[[0, 2, 3, 5, 0, 1, 2], 100.18516600730347, 0.0010378360748291016, 0]
[[0, 2, 3, 5, 0, 0, 1], 124.43190093902, 0.0017390251159667969, 0]
[[0, 2, 3, 5, 0, 2, 3], 126.48386638559282, 0.0010318756103515625, 0]
[[1, 3, 0, 1, 2, 4, 0], 1301.1176589083268, 0.0017409324645996094, 0]
[[1, 3, 0, 0, 1, 3, 0], 10.239233267788668, 0.003224611282348633, 0]
[[1, 3, 0, 2, 3, 5, 0], 124.43190093902, 0.0016682147979736328, 0]
[[3, 5, 0, 1, 2, 4, 0], 1292.3991099471457, 0.0008928775787353516, 0]
[[3, 5, 0, 0, 1, 3, 0], 16.79745138100558, 0.0020971298217773438, 0]
[[3, 5, 0, 2, 3, 5, 0], 126.48386638559282, 0.0009317398071289062, 0]
[[2, 4, 0, 1, 2, 4, 0], 5.231009046987121, 0.0009765625, 0]
[[2, 4, 0, 0, 1, 3, 0], 12.712802910160773, 0.002370595932006836, 0]
[[2, 4, 0, 2, 3, 5, 0], 100.18516600730347, 0.0009510517120361328, 0]
