[[0, 1, 2, 4, 0, 1, 2], 1.0249803226362828, 0.08260416984558105, 0.081523144]
[[0, 1, 2, 4, 0, 0, 1], 1.0080197804303095, 0.2562296390533447, 0.254451788]
[[0, 1, 2, 4, 0, 2, 3], 1.030816286273357, 0.1027226448059082, 0.101803594]
[[0, 0, 1, 3, 0, 1, 2], 1.0070031529188157, 0.2828547954559326, 0.280449236]
[[0, 0, 1, 3, 0, 0, 1], 1.0238497139372444, 0.35034632682800293, 0.347209309]
[[0, 0, 1, 3, 0, 2, 3], 1.018279746651817, 0.2992219924926758, 0.296581518]
[[0, 2, 3, 5, 0, 1, 2], 1.0357398500297714, 0.0919339656829834, 0.090976593]
[[0, 2, 3, 5, 0, 0, 1], 1.017751158252908, 0.16866660118103027, 0.167078494]
[[0, 2, 3, 5, 0, 2, 3], 1.017279996947365, 0.09925198554992676, 0.09821815]
[[1, 3, 0, 1, 2, 4, 0], 1.02220062288882, 0.2530708312988281, 0.251612726]
[[1, 3, 0, 0, 1, 3, 0], 1.044015737061451, 0.3549537658691406, 0.352059053]
[[1, 3, 0, 2, 3, 5, 0], 1.0337438149837195, 0.20870208740234375, 0.207359741]
[[3, 5, 0, 1, 2, 4, 0], 1.0405754909063816, 0.10421037673950195, 0.103266238]
[[3, 5, 0, 0, 1, 3, 0], 1.026360572345214, 0.2618098258972168, 0.259604253]
[[3, 5, 0, 2, 3, 5, 0], 1.0445813975616507, 0.09491610527038574, 0.094028435]
[[2, 4, 0, 1, 2, 4, 0], 1.0, 0.09014439582824707, 0.089191013]
[[2, 4, 0, 0, 1, 3, 0], 1.0030404983526542, 0.3026449680328369, 0.300358763]
[[2, 4, 0, 2, 3, 5, 0], 1.0683186269347376, 0.0835578441619873, 0.082615232]
