[[0, 0, 1, 1, 0], 5.2101414524949865, 0.14238476753234863, 0]
[[0, 2, 2, 3, 0], 2.1858630932422467, 0.0815420150756836, 0]
[[0, 4, 3, 5, 0], 2.1542950251619564, 0.11287951469421387, 0]
[[1, 1, 0, 0, 1], 2.001543719525426, 0.08081603050231934, 0]
[[1, 1, 0, 2, 2], 1.987761154523863, 0.0893702507019043, 0]
[[1, 1, 0, 4, 3], 1.890042506006549, 0.08414244651794434, 0]
[[2, 3, 0, 0, 1], 2.2098877869819398, 0.08172488212585449, 0]
[[2, 3, 0, 2, 2], 10.571712719456668, 0.10348367691040039, 0]
[[2, 3, 0, 4, 3], 2.9585535101904212, 0.08196449279785156, 0]
[[3, 5, 0, 0, 1], 2.0236662861657884, 0.10033154487609863, 0]
[[3, 5, 0, 2, 2], 3.105470032752846, 0.08579683303833008, 0]
[[3, 5, 0, 4, 3], 3.6444288643183884, 0.10338234901428223, 0]
