[[0, 0, 1, 1, 0], 8.061931964828005, 0.00040650367736816406, 0]
[[0, 2, 2, 3, 0], 18.043478021223066, 0.00016498565673828125, 0]
[[0, 4, 3, 5, 0], 4.25621839376055, 0.0011181831359863281, 0]
[[1, 1, 0, 0, 1], 3.858635577864728, 0.0003809928894042969, 0]
[[1, 1, 0, 2, 2], 3.4501132921524618, 0.00026035308837890625, 0]
[[1, 1, 0, 4, 3], 3.4366617956789134, 0.0006666183471679688, 0]
[[2, 3, 0, 0, 1], 3.4501132921524613, 0.000278472900390625, 0]
[[2, 3, 0, 2, 2], 13.164722660309494, 0.00017261505126953125, 0]
[[2, 3, 0, 4, 3], 4.462004304809715, 0.0006146430969238281, 0]
[[3, 5, 0, 0, 1], 3.4366617956789134, 0.0007729530334472656, 0]
[[3, 5, 0, 2, 2], 4.462004304809714, 0.0006299018859863281, 0]
[[3, 5, 0, 4, 3], 5.821150847802822, 0.001142740249633789, 0]
