[[0, 0, 1, 1, 0], 7073.99013894253, 0.00015354156494140625, 0]
[[0, 2, 2, 3, 0], 494.24869663469207, 0.00010228157043457031, 0]
[[0, 4, 3, 5, 0], 6.604443050722684, 0.0005354881286621094, 0]
[[0, 6, 4, 7, 0], 67.95089902033438, 0.0005140304565429688, 0]
[[1, 1, 0, 0, 1], 3486.748446144587, 0.00010371208190917969, 0]
[[1, 1, 0, 2, 2], 11.153133774153018, 0.00010156631469726562, 0]
[[1, 1, 0, 4, 3], 10.875409904412905, 0.0003380775451660156, 0]
[[1, 1, 0, 6, 4], 37.63049441563161, 0.00030231475830078125, 0]
[[2, 3, 0, 0, 1], 11.153133774153018, 0.00011301040649414062, 0]
[[2, 3, 0, 2, 2], 69.38802877899676, 0.0001049041748046875, 0]
[[2, 3, 0, 4, 3], 2.3200201722302904, 0.0003142356872558594, 0]
[[2, 3, 0, 6, 4], 2.7263738861394953, 0.00031828880310058594, 0]
[[3, 5, 0, 0, 1], 10.875409904412905, 0.0003204345703125, 0]
[[3, 5, 0, 2, 2], 2.3200201722302904, 0.00032138824462890625, 0]
[[3, 5, 0, 4, 3], 5.614999236608488, 0.0005435943603515625, 0]
[[3, 5, 0, 6, 4], 2.484217866860906, 0.0006093978881835938, 0]
[[4, 7, 0, 0, 1], 37.63049441563161, 0.0003504753112792969, 0]
[[4, 7, 0, 2, 2], 2.7263738861394953, 0.00034117698669433594, 0]
[[4, 7, 0, 4, 3], 2.484217866860906, 0.00055694580078125, 0]
[[4, 7, 0, 6, 4], 3.254063805106162, 0.0005550384521484375, 0]
