[[0, 0, 1, 1, 0], 1.0505272367588327, 0.047060489654541016, 0.04678252]
[[0, 2, 2, 3, 0], 1.0259446662686968, 0.029319286346435547, 0.029207396]
[[0, 4, 3, 5, 0], 1.0474078289657156, 0.04477357864379883, 0.044294077]
[[0, 6, 4, 7, 0], 1.0667867822574044, 0.03914594650268555, 0.038649547]
[[1, 1, 0, 0, 1], 1.0, 0.009628057479858398, 0.009549971]
[[1, 1, 0, 2, 2], 1.0591658369972756, 0.012246370315551758, 0.012152922]
[[1, 1, 0, 4, 3], 1.03049417052915, 0.028998136520385742, 0.028481979]
[[1, 1, 0, 6, 4], 1.0432814520465705, 0.0277860164642334, 0.027427871]
[[2, 3, 0, 0, 1], 1.445218617069815, 0.02189159393310547, 0.021784336]
[[2, 3, 0, 2, 2], 1.0, 0.02626967430114746, 0.026177097]
[[2, 3, 0, 4, 3], 1.0430546991498075, 0.027020931243896484, 0.026718482]
[[2, 3, 0, 6, 4], 1.1658629555315025, 0.02599167823791504, 0.025629738]
[[3, 5, 0, 0, 1], 1.225852327398447, 0.027946949005126953, 0.027574126]
[[3, 5, 0, 2, 2], 1.172725271093346, 0.04986429214477539, 0.049556509]
[[3, 5, 0, 4, 3], 1.1366501235666857, 0.042600393295288086, 0.041964408]
[[3, 5, 0, 6, 4], 1.224576627230168, 0.04227566719055176, 0.041678967]
[[4, 7, 0, 0, 1], 1.310780236999969, 0.041023969650268555, 0.040690083]
[[4, 7, 0, 2, 2], 1.1672408961098149, 0.04632973670959473, 0.046046722]
[[4, 7, 0, 4, 3], 1.2778030355564158, 0.04643559455871582, 0.045811738]
[[4, 7, 0, 6, 4], 1.3000069105197505, 0.07446432113647461, 0.073913211]
