[[0, 0, 1, 1, 0], 1.0, 0.008451223373413086, 0]
[[0, 2, 2, 3, 0], 1.0, 0.005841255187988281, 0]
[[0, 4, 3, 5, 0], 8.024920774357143155, 0.009590864181518555, 0]
[[0, 6, 4, 7, 0], 1.7186711887820289153, 0.009441852569580078, 0]
[[1, 1, 0, 0, 1], 7.9999999999999999605, 0.004923820495605469, 0]
[[1, 1, 0, 2, 2], 1.2438856662641535238, 0.005403280258178711, 0]
[[1, 1, 0, 4, 3], 3.5759783143104534207, 0.007575273513793945, 0]
[[1, 1, 0, 6, 4], 1.014492753623188404, 0.0068395137786865234, 0]
[[2, 3, 0, 0, 1], 1.2438856662641535238, 0.0059511661529541016, 0]
[[2, 3, 0, 2, 2], 77.081972144775114025, 0.005972862243652344, 0]
[[2, 3, 0, 4, 3], 2.776947713046578147, 0.00738072395324707, 0]
[[2, 3, 0, 6, 4], 2.187629832695952576, 0.007478475570678711, 0]
[[3, 5, 0, 0, 1], 3.5759783143104534207, 0.007836341857910156, 0]
[[3, 5, 0, 2, 2], 2.776947713046578147, 0.009068727493286133, 0]
[[3, 5, 0, 4, 3], 3.9583148879128778267, 0.011454343795776367, 0]
[[3, 5, 0, 6, 4], 2.073655554234205908, 0.009476900100708008, 0]
[[4, 7, 0, 0, 1], 1.014492753623188404, 0.008958578109741211, 0]
[[4, 7, 0, 2, 2], 2.187629832695952576, 0.007739543914794922, 0]
[[4, 7, 0, 4, 3], 2.073655554234205908, 0.010097980499267578, 0]
[[4, 7, 0, 6, 4], 1.0308007906829993453, 0.011983871459960938, 0]
