[[0, 0, 1, 1, 0, 0, 1, 1, 0], 2.728275548456710475, 0.17200636863708496, 0]
[[0, 0, 1, 1, 0, 2, 2, 3, 0], 1.0990659556047818565, 0.16539478302001953, 0]
[[0, 0, 1, 1, 0, 4, 3, 5, 0], 1.0812384643146190643, 0.18664264678955078, 0]
[[0, 2, 2, 3, 0, 0, 1, 1, 0], 1.3081537834977151862, 0.17115092277526855, 0]
[[0, 2, 2, 3, 0, 2, 2, 3, 0], 3.7389635994241378406, 0.15191936492919922, 0]
[[0, 2, 2, 3, 0, 4, 3, 5, 0], 1.2779524069933636039, 0.1738896369934082, 0]
[[0, 4, 3, 5, 0, 0, 1, 1, 0], 1.2611464501588003458, 0.21776676177978516, 0]
[[0, 4, 3, 5, 0, 2, 2, 3, 0], 1.1450873449189159816, 0.17772698402404785, 0]
[[0, 4, 3, 5, 0, 4, 3, 5, 0], 1.8578149611304406253, 0.19215631484985352, 0]
[[1, 1, 0, 0, 1, 1, 0, 0, 1], 3.4619352871852078464, 0.17937469482421875, 0]
[[1, 1, 0, 0, 1, 1, 0, 2, 2], 2.5640138395972750975, 0.16959571838378906, 0]
[[1, 1, 0, 0, 1, 1, 0, 4, 3], 2.4924179938538864247, 0.1772615909576416, 0]
[[1, 1, 0, 2, 2, 3, 0, 0, 1], 1.8099543392587533334, 0.17475032806396484, 0]
[[1, 1, 0, 2, 2, 3, 0, 2, 2], 3.1581124726808880135, 0.17406630516052246, 0]
[[1, 1, 0, 2, 2, 3, 0, 4, 3], 1.5329907420045248563, 0.17128968238830566, 0]
[[1, 1, 0, 4, 3, 5, 0, 0, 1], 1.5049679120516872378, 0.18216943740844727, 0]
[[1, 1, 0, 4, 3, 5, 0, 2, 2], 1.0873593886380844814, 0.1761324405670166, 0]
[[1, 1, 0, 4, 3, 5, 0, 4, 3], 2.2645204897821164783, 0.19934988021850586, 0]
[[2, 3, 0, 0, 1, 1, 0, 0, 1], 2.5134807283706013662, 0.13387703895568848, 0]
[[2, 3, 0, 0, 1, 1, 0, 2, 2], 2.4311253249870652476, 0.13187527656555176, 0]
[[2, 3, 0, 0, 1, 1, 0, 4, 3], 1.1685095490412437887, 0.1345202922821045, 0]
[[2, 3, 0, 2, 2, 3, 0, 0, 1], 3.2191650958393406776, 0.1339585781097412, 0]
[[2, 3, 0, 2, 2, 3, 0, 2, 2], 4.0896187466256416943, 0.15785837173461914, 0]
[[2, 3, 0, 2, 2, 3, 0, 4, 3], 2.7432454344587638127, 0.19301795959472656, 0]
[[2, 3, 0, 4, 3, 5, 0, 0, 1], 1.1723843148743988529, 0.1747455596923828, 0]
[[2, 3, 0, 4, 3, 5, 0, 2, 2], 1.5295800043847581084, 0.17545771598815918, 0]
[[2, 3, 0, 4, 3, 5, 0, 4, 3], 1.7896677446571230318, 0.17745137214660645, 0]
[[3, 5, 0, 0, 1, 1, 0, 0, 1], 2.757794968262971916, 0.20096850395202637, 0]
[[3, 5, 0, 0, 1, 1, 0, 2, 2], 1.0898776852827098931, 0.17407560348510742, 0]
[[3, 5, 0, 0, 1, 1, 0, 4, 3], 1.2627785294194491314, 0.19746685028076172, 0]
[[3, 5, 0, 2, 2, 3, 0, 0, 1], 1.3984953557584467853, 0.17684555053710938, 0]
[[3, 5, 0, 2, 2, 3, 0, 2, 2], 2.5527027804533079952, 0.17334580421447754, 0]
[[3, 5, 0, 2, 2, 3, 0, 4, 3], 1.0039519727785993403, 0.17810583114624023, 0]
[[3, 5, 0, 4, 3, 5, 0, 0, 1], 2.2742558814382541378, 0.1936028003692627, 0]
[[3, 5, 0, 4, 3, 5, 0, 2, 2], 1.6654968638380952819, 0.18351483345031738, 0]
[[3, 5, 0, 4, 3, 5, 0, 4, 3], 3.1511050239377594673, 0.2418384552001953, 0]
