[[0, 0, 1, 1, 0, 0, 1, 1, 0], 1.0221976512697424, 0.09106183052062988, 0.090342538]
[[0, 0, 1, 1, 0, 2, 2, 3, 0], 1.0027983654780321, 0.05205416679382324, 0.051551345]
[[0, 0, 1, 1, 0, 4, 3, 5, 0], 1.0275579019410734, 0.17134404182434082, 0.169916401]
[[0, 2, 2, 3, 0, 0, 1, 1, 0], 1.0364903442614855, 0.03403949737548828, 0.033508293]
[[0, 2, 2, 3, 0, 2, 2, 3, 0], 1.046835483400399, 0.033855438232421875, 0.033553632]
[[0, 2, 2, 3, 0, 4, 3, 5, 0], 1.0337593950193278, 0.07974004745483398, 0.078579806]
[[0, 4, 3, 5, 0, 0, 1, 1, 0], 1.0386345180830523, 0.18851470947265625, 0.187052206]
[[0, 4, 3, 5, 0, 2, 2, 3, 0], 1.0212775319938088, 0.11443495750427246, 0.113240065]
[[0, 4, 3, 5, 0, 4, 3, 5, 0], 1.0249434794423717, 0.24218535423278809, 0.240251192]
[[1, 1, 0, 0, 1, 1, 0, 0, 1], 1.0033127484228574, 0.07946014404296875, 0.078822748]
[[1, 1, 0, 0, 1, 1, 0, 2, 2], 1.0089875609081984, 0.0574033260345459, 0.05680445]
[[1, 1, 0, 0, 1, 1, 0, 4, 3], 1.0130362923957092, 0.14874625205993652, 0.14770283]
[[1, 1, 0, 2, 2, 3, 0, 0, 1], 1.0528914375535683, 0.033614158630371094, 0.033143535]
[[1, 1, 0, 2, 2, 3, 0, 2, 2], 1.0276568395971624, 0.05544567108154297, 0.055064307]
[[1, 1, 0, 2, 2, 3, 0, 4, 3], 1.0186202849948847, 0.052301645278930664, 0.051480728]
[[1, 1, 0, 4, 3, 5, 0, 0, 1], 1.0272239617270211, 0.1717977523803711, 0.170491743]
[[1, 1, 0, 4, 3, 5, 0, 2, 2], 1.017894381084466, 0.07012271881103516, 0.068854781]
[[1, 1, 0, 4, 3, 5, 0, 4, 3], 1.0272993816360432, 0.23833703994750977, 0.236601419]
[[2, 3, 0, 0, 1, 1, 0, 0, 1], 1.0110561040702621, 0.036472320556640625, 0.035927581]
[[2, 3, 0, 0, 1, 1, 0, 2, 2], 1.015363406014329, 0.038361549377441406, 0.037932482]
[[2, 3, 0, 0, 1, 1, 0, 4, 3], 1.0225870729724793, 0.07234621047973633, 0.071512548]
[[2, 3, 0, 2, 2, 3, 0, 0, 1], 1.0121338417993975, 0.06684184074401855, 0.066455479]
[[2, 3, 0, 2, 2, 3, 0, 2, 2], 1.0165970083084035, 0.04287528991699219, 0.042607994]
[[2, 3, 0, 2, 2, 3, 0, 4, 3], 1.0163222724545316, 0.11468291282653809, 0.113975597]
[[2, 3, 0, 4, 3, 5, 0, 0, 1], 1.0435517883483518, 0.07693839073181152, 0.075692979]
[[2, 3, 0, 4, 3, 5, 0, 2, 2], 1.0171089552821533, 0.05861473083496094, 0.057418891]
[[2, 3, 0, 4, 3, 5, 0, 4, 3], 1.0141758805409185, 0.12596726417541504, 0.124405647]
[[3, 5, 0, 0, 1, 1, 0, 0, 1], 1.0278425684942414, 0.11312341690063477, 0.112071824]
[[3, 5, 0, 0, 1, 1, 0, 2, 2], 1.029814041822577, 0.09836483001708984, 0.097438513]
[[3, 5, 0, 0, 1, 1, 0, 4, 3], 1.0381060451536295, 0.1710820198059082, 0.169706462]
[[3, 5, 0, 2, 2, 3, 0, 0, 1], 1.00065287132781, 0.17131567001342773, 0.170510159]
[[3, 5, 0, 2, 2, 3, 0, 2, 2], 1.0089651274516056, 0.04327535629272461, 0.042579293]
[[3, 5, 0, 2, 2, 3, 0, 4, 3], 1.040880046764083, 0.0551152229309082, 0.054054109]
[[3, 5, 0, 4, 3, 5, 0, 0, 1], 1.020569025439758, 0.19161415100097656, 0.189937682]
[[3, 5, 0, 4, 3, 5, 0, 2, 2], 1.0279985180215572, 0.1571483612060547, 0.155564346]
[[3, 5, 0, 4, 3, 5, 0, 4, 3], 1.0258296995293168, 0.23440980911254883, 0.232634963]
