[[0, 0, 1, 1, 0, 0, 1], 1.000687942473382, 0.621147632598877, 0]
[[0, 0, 1, 1, 0, 2, 2], 1.0054707514673626, 0.5899615287780762, 0]
[[0, 0, 1, 1, 0, 4, 3], 1.008435812079758, 0.6472623348236084, 0]
[[0, 2, 2, 3, 0, 0, 1], 1.0417160418191072, 0.5925662517547607, 0]
[[0, 2, 2, 3, 0, 2, 2], 1.0152603818537032, 0.5785527229309082, 0]
[[0, 2, 2, 3, 0, 4, 3], 1.0425713273614428, 0.6155374050140381, 0]
[[0, 4, 3, 5, 0, 0, 1], 1.007243721889202, 0.6421124935150146, 0]
[[0, 4, 3, 5, 0, 2, 2], 1.0019416861087707, 0.6371839046478271, 0]
[[0, 4, 3, 5, 0, 4, 3], 1.0174597377439976, 0.6744213104248047, 0]
[[1, 1, 0, 0, 1, 1, 0], 1.007793467119609, 0.5980746746063232, 0]
[[1, 1, 0, 2, 2, 3, 0], 1.0228423829988538, 0.5954434871673584, 0]
[[1, 1, 0, 4, 3, 5, 0], 1.0249014882015532, 0.6567645072937012, 0]
[[2, 3, 0, 0, 1, 1, 0], 1.0058447677000593, 0.6060385704040527, 0]
[[2, 3, 0, 2, 2, 3, 0], 1.0131414465877011, 0.5847415924072266, 0]
[[2, 3, 0, 4, 3, 5, 0], 1.018368589368975, 0.6173834800720215, 0]
[[3, 5, 0, 0, 1, 1, 0], 1.0027787389019545, 0.5979475975036621, 0]
[[3, 5, 0, 2, 2, 3, 0], 1.0423218336187106, 0.6149201393127441, 0]
[[3, 5, 0, 4, 3, 5, 0], 1.0274304198419115, 0.6309700012207031, 0]
