[[0, 0, 1, 1, 0, 0, 1], 2.4048725217493434497, 0.14049959182739258, 0]
[[0, 0, 1, 1, 0, 2, 2], 1.0313937557073407942, 0.12554359436035156, 0]
[[0, 0, 1, 1, 0, 4, 3], 1.0525170819766757916, 0.14098834991455078, 0]
[[0, 2, 2, 3, 0, 0, 1], 1.6161980045295010122, 0.13083791732788086, 0]
[[0, 2, 2, 3, 0, 2, 2], 2.7443153034492321063, 0.13239693641662598, 0]
[[0, 2, 2, 3, 0, 4, 3], 1.2505883512671965435, 0.15096068382263184, 0]
[[0, 4, 3, 5, 0, 0, 1], 1.4442187092911545017, 0.17901182174682617, 0]
[[0, 4, 3, 5, 0, 2, 2], 1.0375748036309163878, 0.15575814247131348, 0]
[[0, 4, 3, 5, 0, 4, 3], 2.0264722451654029996, 0.1640787124633789, 0]
[[1, 1, 0, 0, 1, 1, 0], 2.4541046371670669586, 0.13896489143371582, 0]
[[1, 1, 0, 2, 2, 3, 0], 1.4575090214688618783, 0.14515328407287598, 0]
[[1, 1, 0, 4, 3, 5, 0], 1.4369881918175806906, 0.18266510963439941, 0]
[[2, 3, 0, 0, 1, 1, 0], 1.176086891817224454, 0.15813446044921875, 0]
[[2, 3, 0, 2, 2, 3, 0], 2.6752159573989338075, 0.14253640174865723, 0]
[[2, 3, 0, 4, 3, 5, 0], 1.1192297879203837256, 0.15691208839416504, 0]
[[3, 5, 0, 0, 1, 1, 0], 1.126089203116305661, 0.15964794158935547, 0]
[[3, 5, 0, 2, 2, 3, 0], 1.1364001626772544004, 0.15100526809692383, 0]
[[3, 5, 0, 4, 3, 5, 0], 2.0174860752537057203, 0.16943097114562988, 0]
