[[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0], 1.1086147657216712, 0.07061767578125, 0]
[[0, 0, 1, 1, 0, 0, 1, 1, 0, 2, 2, 3, 0], 1.5487244194832084, 0.09160089492797852, 0]
[[0, 0, 1, 1, 0, 0, 1, 1, 0, 4, 3, 5, 0], 1.8382136137423737, 0.08378386497497559, 0]
[[0, 0, 1, 1, 0, 0, 1, 1, 0, 6, 4, 7, 0], 1.326150871567939, 0.13880205154418945, 0]
[[0, 0, 1, 1, 0, 2, 2, 3, 0, 0, 1, 1, 0], 1.0041118259539485, 0.07915115356445312, 0]
[[0, 0, 1, 1, 0, 2, 2, 3, 0, 2, 2, 3, 0], 1.4375282510098888, 0.09933304786682129, 0]
[[0, 0, 1, 1, 0, 2, 2, 3, 0, 4, 3, 5, 0], 2.4005543977435053, 0.08565354347229004, 0]
[[0, 0, 1, 1, 0, 2, 2, 3, 0, 6, 4, 7, 0], 1.219484261833648, 0.10012674331665039, 0]
[[0, 0, 1, 1, 0, 4, 3, 5, 0, 0, 1, 1, 0], 1.000804720718999, 0.08600091934204102, 0]
[[0, 0, 1, 1, 0, 4, 3, 5, 0, 2, 2, 3, 0], 1.5205501141023583, 0.08452606201171875, 0]
[[0, 0, 1, 1, 0, 4, 3, 5, 0, 4, 3, 5, 0], 1.2668523481920904, 0.1859736442565918, 0]
[[0, 0, 1, 1, 0, 4, 3, 5, 0, 6, 4, 7, 0], 1.0169420937872462, 0.1077582836151123, 0]
[[0, 0, 1, 1, 0, 6, 4, 7, 0, 0, 1, 1, 0], 2.8848941638569507, 0.11844372749328613, 0]
[[0, 0, 1, 1, 0, 6, 4, 7, 0, 2, 2, 3, 0], 1.2883584033500033, 0.12529587745666504, 0]
[[0, 0, 1, 1, 0, 6, 4, 7, 0, 4, 3, 5, 0], 1.5658994333102678, 0.11784744262695312, 0]
[[0, 0, 1, 1, 0, 6, 4, 7, 0, 6, 4, 7, 0], 2.0259841576248396, 0.11738944053649902, 0]
[[0, 2, 2, 3, 0, 0, 1, 1, 0, 0, 1, 1, 0], 1.3337221680344147, 0.09469151496887207, 0]
[[0, 2, 2, 3, 0, 0, 1, 1, 0, 2, 2, 3, 0], 1.334264424675635, 0.0985414981842041, 0]
[[0, 2, 2, 3, 0, 0, 1, 1, 0, 4, 3, 5, 0], 3.6328989979788595, 0.10467243194580078, 0]
[[0, 2, 2, 3, 0, 0, 1, 1, 0, 6, 4, 7, 0], 1.0351780189356454, 0.09977388381958008, 0]
[[0, 2, 2, 3, 0, 2, 2, 3, 0, 0, 1, 1, 0], 1.943318938066973, 0.12135171890258789, 0]
[[0, 2, 2, 3, 0, 2, 2, 3, 0, 2, 2, 3, 0], 1.0342219511267021, 0.1010289192199707, 0]
[[0, 2, 2, 3, 0, 2, 2, 3, 0, 4, 3, 5, 0], 1.1169241636682765, 0.08434104919433594, 0]
[[0, 2, 2, 3, 0, 2, 2, 3, 0, 6, 4, 7, 0], 1.4240061587748873, 0.08466792106628418, 0]
[[0, 2, 2, 3, 0, 4, 3, 5, 0, 0, 1, 1, 0], 2.3960235002246213, 0.09286713600158691, 0]
[[0, 2, 2, 3, 0, 4, 3, 5, 0, 2, 2, 3, 0], 1.2197684154503603, 0.1941213607788086, 0]
[[0, 2, 2, 3, 0, 4, 3, 5, 0, 4, 3, 5, 0], 1.118446772982468, 0.10051298141479492, 0]
[[0, 2, 2, 3, 0, 4, 3, 5, 0, 6, 4, 7, 0], 2.4103570915123527, 0.09433293342590332, 0]
[[0, 2, 2, 3, 0, 6, 4, 7, 0, 0, 1, 1, 0], 1.1265703320093001, 0.08101320266723633, 0]
[[0, 2, 2, 3, 0, 6, 4, 7, 0, 2, 2, 3, 0], 1.0277121472676354, 0.08312082290649414, 0]
[[0, 2, 2, 3, 0, 6, 4, 7, 0, 4, 3, 5, 0], 1.3370489347415435, 0.11470556259155273, 0]
[[0, 2, 2, 3, 0, 6, 4, 7, 0, 6, 4, 7, 0], 1.9751276703185425, 0.11197185516357422, 0]
[[0, 4, 3, 5, 0, 0, 1, 1, 0, 0, 1, 1, 0], 1.0937829886077135, 0.10923957824707031, 0]
[[0, 4, 3, 5, 0, 0, 1, 1, 0, 2, 2, 3, 0], 1.0097721565457118, 0.09071207046508789, 0]
[[0, 4, 3, 5, 0, 0, 1, 1, 0, 4, 3, 5, 0], 1.3362299269056392, 0.19944381713867188, 0]
[[0, 4, 3, 5, 0, 0, 1, 1, 0, 6, 4, 7, 0], 1.3424586339740325, 0.13606882095336914, 0]
