[[0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2], 2462.2569870420433626, 0.23614287376403809, 0]
[[0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0, 0, 1], 672.7787227002026776, 0.23801636695861816, 0]
[[0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0, 2, 3], 426.0532951813308243, 0.22428202629089355, 0]
[[0, 1, 2, 4, 0, 1, 2, 4, 0, 0, 1, 3, 0, 1, 2], 3.9909489129412550304, 0.25910377502441406, 0]
[[0, 1, 2, 4, 0, 1, 2, 4, 0, 0, 1, 3, 0, 0, 1], 44.637215388037361115, 0.2764577865600586, 0]
[[0, 1, 2, 4, 0, 1, 2, 4, 0, 0, 1, 3, 0, 2, 3], 19.74923744155805296, 0.2520725727081299, 0]
[[0, 1, 2, 4, 0, 1, 2, 4, 0, 2, 3, 5, 0, 1, 2], 2.761530659855110323, 0.24239039421081543, 0]
[[0, 1, 2, 4, 0, 1, 2, 4, 0, 2, 3, 5, 0, 2, 3], 38.968867096929278873, 0.2535371780395508, 0]
[[0, 0, 1, 3, 0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2], 108.12086641957334309, 0.25830912590026855, 0]
[[0, 0, 1, 3, 0, 1, 2, 4, 0, 1, 2, 4, 0, 0, 1], 52.716253632325912947, 0.26290106773376465, 0]
[[0, 0, 1, 3, 0, 1, 2, 4, 0, 1, 2, 4, 0, 2, 3], 36.71559372763096457, 0.25035810470581055, 0]
[[0, 0, 1, 3, 0, 0, 1, 3, 0, 0, 1, 3, 0, 1, 2], 3.4967250978578872916, 0.3440113067626953, 0]
[[0, 0, 1, 3, 0, 0, 1, 3, 0, 0, 1, 3, 0, 0, 1], 28.506539277086505466, 0.3741130828857422, 0]
[[0, 0, 1, 3, 0, 0, 1, 3, 0, 0, 1, 3, 0, 2, 3], 12.7308201634691418565, 0.3746333122253418, 0]
[[0, 0, 1, 3, 0, 0, 1, 3, 0, 2, 3, 5, 0, 1, 2], 2.1955307015160234663, 0.3469831943511963, 0]
[[0, 0, 1, 3, 0, 0, 1, 3, 0, 2, 3, 5, 0, 2, 3], 9.268904978952282554, 0.31592464447021484, 0]
[[0, 0, 1, 3, 0, 2, 3, 5, 0, 2, 3, 5, 0, 1, 2], 1.7249279853291369485, 0.2940673828125, 0]
[[0, 0, 1, 3, 0, 2, 3, 5, 0, 2, 3, 5, 0, 2, 3], 6.355968804554029853, 0.2881622314453125, 0]
[[0, 2, 3, 5, 0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2], 85.632849356002535925, 0.24556612968444824, 0]
[[0, 2, 3, 5, 0, 1, 2, 4, 0, 1, 2, 4, 0, 0, 1], 33.903694378930161676, 0.26703619956970215, 0]
[[0, 2, 3, 5, 0, 1, 2, 4, 0, 1, 2, 4, 0, 2, 3], 24.671112185506374843, 0.23700547218322754, 0]
[[0, 2, 3, 5, 0, 0, 1, 3, 0, 0, 1, 3, 0, 1, 2], 2.1792373803900731383, 0.3264200687408447, 0]
[[0, 2, 3, 5, 0, 0, 1, 3, 0, 0, 1, 3, 0, 0, 1], 12.703850481728894067, 0.3345503807067871, 0]
[[0, 2, 3, 5, 0, 0, 1, 3, 0, 0, 1, 3, 0, 2, 3], 6.1679523098333645594, 0.33945369720458984, 0]
[[0, 2, 3, 5, 0, 0, 1, 3, 0, 2, 3, 5, 0, 1, 2], 1.5286131368462572034, 0.28900909423828125, 0]
[[0, 2, 3, 5, 0, 0, 1, 3, 0, 2, 3, 5, 0, 2, 3], 4.492003982285871483, 0.27812647819519043, 0]
[[0, 2, 3, 5, 0, 2, 3, 5, 0, 0, 1, 3, 0, 1, 2], 1.7782375546008984295, 0.27764201164245605, 0]
[[0, 2, 3, 5, 0, 2, 3, 5, 0, 0, 1, 3, 0, 2, 3], 4.272969146358212175, 0.28362345695495605, 0]
[[0, 2, 3, 5, 0, 2, 3, 5, 0, 2, 3, 5, 0, 1, 2], 1.7311866395456852506, 0.25717616081237793, 0]
[[0, 2, 3, 5, 0, 2, 3, 5, 0, 2, 3, 5, 0, 2, 3], 7.274634349413183734, 0.2542390823364258, 0]
[[1, 3, 0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0], 942.0070417805844523, 0.2515754699707031, 0]
[[1, 3, 0, 1, 2, 4, 0, 1, 2, 4, 0, 0, 1, 3, 0], 32.51963616345478667, 0.2691514492034912, 0]
[[1, 3, 0, 1, 2, 4, 0, 1, 2, 4, 0, 2, 3, 5, 0], 59.857270825825358223, 0.24520182609558105, 0]
[[1, 3, 0, 0, 1, 3, 0, 1, 2, 4, 0, 1, 2, 4, 0], 98.172303220539758384, 0.2816441059112549, 0]
