[[0, 1, 2, 4, 0, 1, 2, 4, 0, 1, 2], 2262.4090426027776557, 0.16157078742980957, 0]
[[0, 1, 2, 4, 0, 1, 2, 4, 0, 0, 1], 172.90187657106354159, 0.18403959274291992, 0]
[[0, 1, 2, 4, 0, 1, 2, 4, 0, 2, 3], 120.820108222587531396, 0.16159510612487793, 0]
[[0, 1, 2, 4, 0, 0, 1, 3, 0, 1, 2], 3.8790329460463486664, 0.2136845588684082, 0]
[[0, 1, 2, 4, 0, 0, 1, 3, 0, 0, 1], 6.17751571092627652, 0.24131226539611816, 0]
[[0, 1, 2, 4, 0, 0, 1, 3, 0, 2, 3], 3.8313125875232565349, 0.18299198150634766, 0]
[[0, 1, 2, 4, 0, 2, 3, 5, 0, 1, 2], 2.2526952407211717681, 0.21237397193908691, 0]
[[0, 1, 2, 4, 0, 2, 3, 5, 0, 2, 3], 3.9388195365258744445, 0.2000429630279541, 0]
[[0, 0, 1, 3, 0, 1, 2, 4, 0, 1, 2], 98.19682561069792168, 0.23796653747558594, 0]
[[0, 0, 1, 3, 0, 1, 2, 4, 0, 0, 1], 3.7020169003372685548, 0.24862360954284668, 0]
[[0, 0, 1, 3, 0, 1, 2, 4, 0, 2, 3], 3.7048756598474403279, 0.19152188301086426, 0]
[[0, 0, 1, 3, 0, 0, 1, 3, 0, 1, 2], 10.523430420128387291, 0.23368453979492188, 0]
[[0, 0, 1, 3, 0, 0, 1, 3, 0, 0, 1], 14.425403346653053091, 0.22380852699279785, 0]
[[0, 0, 1, 3, 0, 0, 1, 3, 0, 2, 3], 7.4662531628850529507, 0.20712685585021973, 0]
[[0, 0, 1, 3, 0, 2, 3, 5, 0, 1, 2], 3.1778081097710656354, 0.20839667320251465, 0]
[[0, 0, 1, 3, 0, 2, 3, 5, 0, 0, 1], 2.1342815925752930328, 0.20340490341186523, 0]
[[0, 0, 1, 3, 0, 2, 3, 5, 0, 2, 3], 4.526896029213830798, 0.212599515914917, 0]
[[0, 2, 3, 5, 0, 1, 2, 4, 0, 1, 2], 77.62569596287403061, 0.18212532997131348, 0]
[[0, 2, 3, 5, 0, 1, 2, 4, 0, 0, 1], 2.1933187822060604538, 0.20519351959228516, 0]
[[0, 2, 3, 5, 0, 1, 2, 4, 0, 2, 3], 2.3125637441460701689, 0.17765474319458008, 0]
[[0, 2, 3, 5, 0, 0, 1, 3, 0, 1, 2], 4.41132326310264238, 0.2320859432220459, 0]
[[0, 2, 3, 5, 0, 0, 1, 3, 0, 0, 1], 4.811642163344852633, 0.24338126182556152, 0]
[[0, 2, 3, 5, 0, 0, 1, 3, 0, 2, 3], 2.4799793971224543955, 0.21112895011901855, 0]
[[0, 2, 3, 5, 0, 2, 3, 5, 0, 1, 2], 4.4334946191696985853, 0.2242579460144043, 0]
[[0, 2, 3, 5, 0, 2, 3, 5, 0, 0, 1], 3.4432661754106466876, 0.23128843307495117, 0]
[[0, 2, 3, 5, 0, 2, 3, 5, 0, 2, 3], 7.11431782006952184, 0.21509766578674316, 0]
[[1, 3, 0, 1, 2, 4, 0, 1, 2, 4, 0], 284.33059361184126113, 0.2181532382965088, 0]
[[1, 3, 0, 1, 2, 4, 0, 0, 1, 3, 0], 3.8566082347507754922, 0.20559215545654297, 0]
[[1, 3, 0, 1, 2, 4, 0, 2, 3, 5, 0], 2.2996654670181568138, 0.17808008193969727, 0]
[[1, 3, 0, 0, 1, 3, 0, 1, 2, 4, 0], 7.2138777793531233683, 0.20425057411193848, 0]
[[1, 3, 0, 0, 1, 3, 0, 0, 1, 3, 0], 14.672150817278760955, 0.22755718231201172, 0]
[[1, 3, 0, 0, 1, 3, 0, 2, 3, 5, 0], 4.898103562519047468, 0.20672369003295898, 0]
[[1, 3, 0, 2, 3, 5, 0, 0, 1, 3, 0], 2.1499771765497715556, 0.23804903030395508, 0]
[[1, 3, 0, 2, 3, 5, 0, 2, 3, 5, 0], 3.5033407240733025116, 0.18576669692993164, 0]
[[3, 5, 0, 1, 2, 4, 0, 1, 2, 4, 0], 259.69416013990297157, 0.16721057891845703, 0]
[[3, 5, 0, 1, 2, 4, 0, 0, 1, 3, 0], 4.0360175004706532937, 0.19041776657104492, 0]
[[3, 5, 0, 1, 2, 4, 0, 2, 3, 5, 0], 2.5386732840808848785, 0.21723508834838867, 0]
[[3, 5, 0, 0, 1, 3, 0, 1, 2, 4, 0], 4.783572379803386127, 0.2425692081451416, 0]
[[3, 5, 0, 0, 1, 3, 0, 0, 1, 3, 0], 7.6943336919953378775, 0.21654796600341797, 0]
[[3, 5, 0, 0, 1, 3, 0, 2, 3, 5, 0], 2.5487957772718186713, 0.24708151817321777, 0]
[[3, 5, 0, 2, 3, 5, 0, 1, 2, 4, 0], 5.0327689927436416242, 0.20835041999816895, 0]
[[3, 5, 0, 2, 3, 5, 0, 0, 1, 3, 0], 4.6436646708239573984, 0.25983095169067383, 0]
[[3, 5, 0, 2, 3, 5, 0, 2, 3, 5, 0], 7.457575937930390278, 0.2302837371826172, 0]
[[2, 4, 0, 1, 2, 4, 0, 1, 2, 4, 0], 7033.6914887666635594, 0.208740234375, 0]
[[2, 4, 0, 1, 2, 4, 0, 0, 1, 3, 0], 102.41625572862041674, 0.2262253761291504, 0]
[[2, 4, 0, 1, 2, 4, 0, 2, 3, 5, 0], 136.45031905297109996, 0.22837066650390625, 0]
[[2, 4, 0, 0, 1, 3, 0, 1, 2, 4, 0], 10.35768985829862481, 0.2333974838256836, 0]
[[2, 4, 0, 0, 1, 3, 0, 0, 1, 3, 0], 10.146546527551574993, 0.2512364387512207, 0]
[[2, 4, 0, 0, 1, 3, 0, 2, 3, 5, 0], 4.5763779923773562196, 0.22066950798034668, 0]
[[2, 4, 0, 2, 3, 5, 0, 1, 2, 4, 0], 4.712335170488837008, 0.20469069480895996, 0]
[[2, 4, 0, 2, 3, 5, 0, 0, 1, 3, 0], 3.0832227506908289822, 0.24375104904174805, 0]
[[2, 4, 0, 2, 3, 5, 0, 2, 3, 5, 0], 4.6410138946365349674, 0.22039175033569336, 0]
